brand,total_mentions,weighted_mentions,videos_with_mentions,positive_videos,negative_videos,neutral_videos,sov_mentions_percent,sov_weighted_percent
atomberg,133,136273348,20,20,0,0,73.07692307692307,80.96311695125738
orient,14,11330507,6,6,0,0,7.6923076923076925,6.73171369766332
havells,18,11293076,6,6,0,0,9.89010989010989,6.709475083326183
crompton,10,4288970,4,4,0,0,5.4945054945054945,2.548175302117288
usha,7,5129442,2,2,0,0,3.8461538461538463,3.0475189656358306
luminous,0,0,0,0,0,0,0.0,0.0
bajaj,0,0,0,0,0,0,0.0,0.0
